('66', '黑客帝国', '2000', '安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski', '美国 澳大利亚', '8.9')
('67', '西西里的美丽传说', '1997', '朱塞佩·托纳多雷 Giuseppe Tornatore', '意大利 美国', '8.8')
('68', '小鞋子', '1984', '马基德·马基迪 Majid Majidi', '伊朗', '9.2')
('69', '美国往事', '1998', '赛尔乔·莱翁内 Sergio Leone', '意大利 美国', '9.1')
('70', '拯救大兵瑞恩', '2010', '史蒂文·斯皮尔伯格 Steven Spielberg', '美国', '9.0')
('71', '让子弹飞', '1965', '姜文 Wen Jiang', '中国大陆 香港', '8.8')
('72', '音乐之声', '2006', '罗伯特·怀斯 Robert Wise', '美国', '9.0')
('73', '致命魔术', '1995', '克里斯托弗·诺兰 Christopher Nolan', '美国 英国', '8.8')
('74', '七宗罪', '2002', '大卫·芬奇 David Fincher', '美国', '8.8')
('76', '被嫌弃的松子的一生', '2006', '中岛哲也 Tetsuya Nakashima', '日本', '8.9')
('77', '低俗小说', '1994', '昆汀·塔伦蒂诺 Quentin Tarantino', '美国', '8.8')
('78', '沉默的羔羊', '1991', '乔纳森·戴米 Jonathan Demme', '美国', '8.8')
('79', '蝴蝶效应', '2004', '埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber', '美国 加拿大', '8.8')
('80', '春光乍泄', '1997', '王家卫 Kar Wai Wong', '香港 日本 韩国', '8.9')
('81', '勇敢的心', '1995', '梅尔·吉布森 Mel Gibson', '美国', '8.9')
('82', '天使爱美丽', '2001', '让-皮埃尔·热内 Jean-Pierre Jeunet', '法国 德国', '8.7')
('83', '穿条纹睡衣的男孩', '2008', '马克·赫尔曼 Mark Herman', '英国 美国', '9.0')
('84', '剪刀手爱德华', '1990', '蒂姆·波顿 Tim Burton', '美国', '8.7')
('85', '心灵捕手', '1997', '格斯·范·桑特 Gus Van Sant', '美国', '8.8')
('86', '禁闭岛', '2010', 'Martin Scorsese', '美国', '8.8')
('87', '布达佩斯大饭店', '2014', '韦斯·安德森 Wes Anderson', '美国 德国 英国', '8.8')
('88', '阿凡达', '2009', '詹姆斯·卡梅隆 James Cameron', '美国 英国', '8.7')
('89', '入殓师', '2008', '泷田洋二郎 Yôjirô Takita', '日本', '8.8')
('90', '幽灵公主', '1997', '宫崎骏 Hayao Miyazaki', '日本', '8.9')
('91', '加勒比海盗', '2003', '戈尔·维宾斯基 Gore Verbinski', '美国', '8.7')
('92', '摩登时代', '1936', '查理·卓别林 Charles Chaplin', '美国', '9.3')
('93', '致命ID', '2003', 'James Mangold', '美国', '8.7')
('94', '断背山', '2005', '李安 Ang Lee', '美国 加拿大', '8.7')
('95', '阳光灿烂的日子', '1994', '姜文 Wen Jiang', '中国大陆 香港', '8.8')
('96', '重庆森林', '1994', '王家卫 Kar Wai Wong', '香港', '8.7')
('97', '第六感', '1999', 'M·奈特·沙马兰 M. Night Shyamalan', '美国', '8.8')
('98', '狩猎', '2012', '托马斯·温特伯格 Thomas Vinterberg', '丹麦 瑞典', '9.1')
('99', '喜剧之王', '1999', '周星驰 Stephen Chow / 李力持 Lik-Chi Lee', '香港', '8.7')
('100', '玛丽和马克思', '2009', '亚当·艾略特 Adam Elliot', '澳大利亚', '8.9')
('101', '消失的爱人', '2014', '大卫·芬奇 David Fincher', '美国', '8.7')
('102', '告白', '2010', '中岛哲也 Tetsuya Nakashima', '日本', '8.7')
('103', '大鱼', '2003', '蒂姆·波顿 Tim Burton', '美国', '8.8')
('104', '小森林 夏秋篇', '2014', '森淳一 Junichi Mori', '日本', '9.0')
('105', '一一', '2000', '杨德昌 Edward Yang', '台湾 日本', '9.0')
('106', '阳光姐妹淘', '2011', '姜炯哲 Hyeong-Cheol Kang', '韩国', '8.8')
('107', '爱在黎明破晓前', '1995', '理查德·林克莱特 Richard Linklater', '美国 奥地利 瑞士', '8.8')
('108', '请以你的名字呼唤我', '2017', '卢卡·瓜达尼诺 Luca Guadagnino', '意大利 法国 巴西 美国 荷兰 德国', '8.8')
('109', '射雕英雄传之东成西就', '1993', '刘镇伟 Jeffrey Lau', '香港', '8.7')
('110', '甜蜜蜜', '1996', '陈可辛 Peter Chan', '香港', '8.8')
('111', '侧耳倾听', '1995', '近藤喜文 Yoshifumi Kondo', '日本', '8.9')
('112', '红辣椒', '2006', '今敏 Satoshi Kon', '日本', '8.9')
('113', '驯龙高手', '2010', '迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders', '美国', '8.7')
